model,year,seed,silhouette,davies_bouldin
Prithvi (zero-shot),2021,0,0.27368828654289246,1.1279856257306804
Prithvi (zero-shot),2021,1,0.27368828654289246,1.1279856257306804
Prithvi (zero-shot),2021,2,0.2743476927280426,1.1269973670029134
Prithvi (zero-shot),2021,3,0.27350878715515137,1.1284497161138873
Prithvi (zero-shot),2021,4,0.27300146222114563,1.123547759904199
Prithvi (zero-shot),2021,5,0.2739569842815399,1.1283486181263893
Prithvi (zero-shot),2021,6,0.27368828654289246,1.1279856257306806
Prithvi (zero-shot),2021,7,0.2743476927280426,1.1269973670029134
Prithvi (zero-shot),2021,8,0.27368828654289246,1.1279856257306804
Prithvi (zero-shot),2021,9,0.2726706564426422,1.125332005689827
NDVI baseline,2021,0,0.37638574838638306,0.9660287598589801
NDVI baseline,2021,1,0.37638574838638306,0.9660287598589801
NDVI baseline,2021,2,0.37638574838638306,0.9660287598589802
NDVI baseline,2021,3,0.37638574838638306,0.9660287598589801
NDVI baseline,2021,4,0.376298725605011,0.9650309546777261
NDVI baseline,2021,5,0.37638574838638306,0.9660287598589802
NDVI baseline,2021,6,0.37638574838638306,0.9660287598589801
NDVI baseline,2021,7,0.376272588968277,0.9655709622589492
NDVI baseline,2021,8,0.37638574838638306,0.9660287598589802
NDVI baseline,2021,9,0.37638574838638306,0.9660287598589802
Raw Spectral KMeans,2021,0,0.20297046291833246,1.4287559257972469
Raw Spectral KMeans,2021,1,0.20314338262567072,1.4285567787916738
Raw Spectral KMeans,2021,2,0.202950934060867,1.4284463520305315
Raw Spectral KMeans,2021,3,0.20402363229637535,1.4281077190009714
Raw Spectral KMeans,2021,4,0.19906719327479067,1.4455121843668979
Raw Spectral KMeans,2021,5,0.19967405571240346,1.4428614821045658
Raw Spectral KMeans,2021,6,0.19975798356284036,1.4440993195369742
Raw Spectral KMeans,2021,7,0.20321802574996345,1.4293632500498619
Raw Spectral KMeans,2021,8,0.20314338262567072,1.4285567787916738
Raw Spectral KMeans,2021,9,0.19975798356284036,1.4440993195369742
Prithvi (fine-tuned),2021,0,0.31513163447380066,0.9929632260649027
Prithvi (fine-tuned),2021,1,0.3320938050746918,0.9620047598632897
Prithvi (fine-tuned),2021,2,0.30961665511131287,0.9944437345876042
Prithvi (fine-tuned),2021,3,0.3243849277496338,0.9714274572237447
Prithvi (fine-tuned),2021,4,0.30495765805244446,0.997604230996421
Prithvi (fine-tuned),2021,5,0.3425821363925934,0.9408407642552534
Prithvi (fine-tuned),2021,6,0.30835795402526855,0.9865903023664837
Prithvi (fine-tuned),2021,7,0.3164670467376709,0.9794257279455852
Prithvi (fine-tuned),2021,8,0.3571615517139435,0.8613686968980764
Prithvi (fine-tuned),2021,9,0.32753702998161316,0.9885292194984091
