model,seed,silhouette,davies_bouldin
Prithvi (zero-shot),0,0.3362114727497101,0.8932829216548281
Prithvi (zero-shot),1,0.3363422155380249,0.8926740150929561
Prithvi (zero-shot),2,0.3363422155380249,0.8926740150929561
Prithvi (zero-shot),3,0.3363422155380249,0.8926740150929561
Prithvi (zero-shot),4,0.3363422155380249,0.8926740150929561
Prithvi (zero-shot),5,0.3363422155380249,0.8926740150929561
Prithvi (zero-shot),6,0.3362114727497101,0.8932829216548281
Prithvi (zero-shot),7,0.3362114727497101,0.8932829216548281
Prithvi (zero-shot),8,0.3363422155380249,0.8926740150929561
Prithvi (zero-shot),9,0.3363422155380249,0.8926740150929561
NDVI baseline,0,0.25609102845191956,1.112490183328146
NDVI baseline,1,0.2558087408542633,1.1129583424315654
NDVI baseline,2,0.25609612464904785,1.1132573272247837
NDVI baseline,3,0.25596168637275696,1.1132050863802212
NDVI baseline,4,0.25609102845191956,1.112490183328146
NDVI baseline,5,0.25572580099105835,1.1118838820700028
NDVI baseline,6,0.25609612464904785,1.1132573272247837
NDVI baseline,7,0.25596168637275696,1.1132050863802212
NDVI baseline,8,0.25581681728363037,1.1134059848547868
NDVI baseline,9,0.25609612464904785,1.1132573272247837
Raw Spectral KMeans,0,0.1793481969869297,1.4884435905174782
Raw Spectral KMeans,1,0.17946133620108323,1.4889429641509198
Raw Spectral KMeans,2,0.17913557481595632,1.4883539309684384
Raw Spectral KMeans,3,0.17913557481595632,1.4883539309684384
Raw Spectral KMeans,4,0.17946133620108323,1.4889429641509195
Raw Spectral KMeans,5,0.17897238997906145,1.4869978246928668
Raw Spectral KMeans,6,0.17916945801179043,1.4911075308023674
Raw Spectral KMeans,7,0.17913557481595632,1.4883539309684384
Raw Spectral KMeans,8,0.17924542128688753,1.485477720451222
Raw Spectral KMeans,9,0.17861821303201544,1.4902444866800408
Prithvi (fine-tuned),0,0.36246299743652344,0.7954421531930554
Prithvi (fine-tuned),1,0.34649330377578735,0.8244980512476371
Prithvi (fine-tuned),2,0.3082202970981598,0.9115803764914562
Prithvi (fine-tuned),3,0.3417201638221741,0.8381539445111489
Prithvi (fine-tuned),4,0.3501569628715515,0.8179599300644366
Prithvi (fine-tuned),5,0.3153958320617676,0.9298767408480814
Prithvi (fine-tuned),6,0.33523452281951904,0.8469693218389889
Prithvi (fine-tuned),7,0.32649004459381104,0.912956014016683
Prithvi (fine-tuned),8,0.39582011103630066,0.729772165900021
Prithvi (fine-tuned),9,0.3754578232765198,0.7721209658136674
